,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193406,    109,     47,    200,     53,     26,      4,     66,      6,     21,    135
193407,    111,     47,    200,     54,     27,      4,     68,      9,     21,    141
193408,    111,     47,    200,     54,     27,      4,     68,      9,     21,    141
193409,    111,     47,    200,     54,     27,      4,     68,      9,     21,    141
193410,    111,     47,    199,     54,     27,      4,     68,      9,     21,    137
193411,    111,     47,    198,     54,     27,      4,     68,      9,     21,    137
193412,    111,     47,    198,     54,     27,      4,     68,      9,     21,    137
193501,    111,     47,    198,     54,     27,      4,     68,      9,     21,    136
193502,    111,     45,    198,     54,     27,      4,     68,      9,     21,    136
193503,    111,     45,    198,     54,     27,      4,     68,      9,     21,    136
193504,    111,     44,    198,     54,     27,      4,     68,      9,     21,    136
193505,    111,     44,    198,     54,     26,      4,     68,      9,     21,    135
193506,    111,     44,    198,     54,     26,      4,     68,      9,     21,    135
193507,    109,     46,    200,     54,     26,      4,     69,      9,     21,    138
193508,    109,     46,    199,     54,     26,      4,     69,      9,     21,    138
193509,    108,     46,    199,     54,     26,      4,     69,      9,     21,    136
193510,    108,     46,    199,     54,     26,      4,     69,      9,     21,    136
193511,    108,     46,    199,     54,     26,      4,     69,      9,     21,    136
193512,    108,     46,    199,     53,     26,      4,     69,      9,     21,    136
193601,    108,     46,    199,     53,     26,      4,     69,      9,     21,    136
193602,    108,     46,    199,     52,     26,      4,     69,      9,     21,    136
193603,    107,     46,    199,     52,     26,      4,     68,      9,     21,    136
193604,    107,     46,    198,     52,     26,      4,     68,      9,     21,    136
193605,    107,     46,    198,     52,     26,      4,     67,      9,     21,    136
193606,    107,     46,    198,     52,     26,      4,     67,      9,     21,    136
193607,    119,     49,    211,     54,     27,      4,     70,     10,     21,    142
193608,    119,     49,    210,     54,     27,      4,     70,     10,     21,    141
193609,    119,     49,    210,     54,     27,      4,     70,     10,     21,    141
193610,    119,     49,    209,     53,     27,      4,     70,     10,     21,    140
193611,    119,     49,    209,     53,     27,      4,     70,     10,     21,    140
193612,    119,     49,    209,     52,     27,      4,     70,     10,     21,    140
193701,    119,     48,    209,     52,     27,      4,     70,     10,     21,    137
193702,    119,     48,    209,     52,     27,      4,     70,     10,     21,    137
193703,    119,     48,    209,     51,     27,      4,     70,     10,     21,    137
193704,    119,     48,    207,     51,     27,      4,     70,     10,     21,    137
193705,    119,     48,    207,     51,     27,      4,     70,     10,     21,    137
193706,    119,     48,    207,     51,     27,      4,     70,     10,     21,    137
193707,    124,     52,    226,     53,     30,      4,     74,     12,     22,    144
193708,    124,     52,    226,     53,     30,      4,     74,     12,     22,    144
193709,    124,     52,    226,     52,     30,      4,     74,     12,     22,    144
193710,    124,     52,    226,     52,     30,      4,     74,     12,     22,    144
193711,    124,     52,    226,     52,     30,      4,     74,     12,     22,    144
193712,    124,     52,    226,     52,     30,      4,     74,     12,     22,    144
193801,    124,     52,    226,     52,     30,      4,     74,     12,     22,    144
193802,    124,     52,    226,     52,     30,      4,     74,     12,     22,    144
193803,    124,     52,    226,     52,     30,      4,     74,     12,     22,    144
193804,    124,     52,    226,     52,     30,      4,     74,     12,     22,    143
193805,    124,     52,    225,     52,     30,      4,     73,     12,     22,    142
193806,    124,     52,    225,     52,     30,      4,     73,     12,     22,    142
193807,    126,     53,    237,     54,     30,      5,     74,     12,     23,    147
193808,    125,     53,    236,     54,     30,      5,     73,     12,     23,    146
193809,    125,     53,    236,     54,     30,      5,     73,     12,     23,    146
193810,    125,     53,    236,     54,     30,      5,     73,     12,     23,    145
193811,    125,     53,    236,     54,     30,      5,     73,     12,     23,    144
193812,    125,     53,    236,     53,     30,      5,     72,     12,     23,    141
193901,    125,     53,    236,     53,     30,      5,     72,     12,     23,    141
193902,    125,     53,    236,     53,     30,      5,     72,     12,     23,    141
193903,    125,     53,    236,     53,     30,      5,     72,     12,     23,    141
193904,    125,     53,    236,     53,     30,      5,     72,     12,     23,    140
193905,    124,     53,    236,     53,     30,      5,     72,     12,     23,    140
193906,    124,     53,    236,     53,     30,      5,     72,     12,     23,    139
193907,    124,     53,    239,     52,     30,      6,     73,     12,     23,    138
193908,    124,     53,    239,     52,     30,      6,     73,     12,     23,    136
193909,    124,     53,    238,     52,     30,      6,     73,     12,     23,    134
193910,    124,     53,    238,     52,     30,      6,     73,     12,     23,    133
193911,    124,     53,    238,     52,     30,      6,     73,     12,     23,    132
193912,    124,     53,    238,     52,     30,      6,     73,     12,     23,    132
194001,    124,     53,    238,     51,     30,      6,     73,     12,     23,    132
194002,    124,     53,    238,     51,     30,      6,     73,     12,     23,    132
194003,    124,     53,    238,     51,     30,      6,     73,     12,     23,    132
194004,    124,     53,    238,     51,     30,      6,     73,     12,     23,    132
194005,    123,     52,    238,     51,     30,      6,     73,     12,     23,    132
194006,    123,     52,    238,     51,     30,      6,     73,     12,     23,    132
194007,    125,     55,    247,     51,     30,      6,     74,     13,     24,    138
194008,    124,     55,    247,     51,     30,      6,     74,     13,     24,    137
194009,    124,     55,    247,     51,     30,      6,     74,     13,     24,    135
194010,    124,     55,    247,     51,     30,      6,     74,     13,     24,    134
194011,    124,     55,    247,     51,     30,      6,     74,     13,     24,    134
194012,    123,     54,    247,     50,     30,      6,     74,     13,     24,    134
194101,    123,     54,    247,     50,     30,      6,     74,     13,     24,    134
194102,    123,     54,    247,     49,     30,      6,     74,     13,     24,    134
194103,    123,     54,    247,     49,     30,      6,     74,     13,     24,    134
194104,    123,     54,    247,     49,     30,      6,     74,     13,     24,    134
194105,    123,     54,    247,     49,     30,      6,     74,     13,     24,    134
194106,    123,     54,    247,     49,     30,      6,     74,     13,     24,    133
194107,    124,     54,    254,     50,     31,      7,     75,     13,     27,    138
194108,    124,     54,    254,     50,     31,      7,     75,     13,     27,    137
194109,    124,     54,    254,     50,     31,      7,     75,     13,     27,    137
194110,    124,     54,    254,     50,     31,      7,     75,     13,     27,    137
194111,    124,     54,    254,     50,     31,      7,     75,     13,     27,    136
194112,    124,     54,    254,     50,     31,      7,     75,     13,     27,    136
194201,    124,     54,    254,     50,     31,      7,     75,     13,     27,    136
194202,    124,     54,    254,     50,     31,      7,     75,     13,     27,    136
194203,    124,     53,    254,     50,     31,      7,     75,     13,     27,    136
194204,    124,     53,    254,     50,     31,      7,     75,     13,     27,    136
194205,    124,     53,    254,     50,     31,      7,     75,     13,     27,    136
194206,    124,     53,    254,     50,     31,      7,     75,     13,     27,    136
194207,    124,     55,    259,     50,     32,      7,     74,     14,     27,    138
194208,    124,     55,    259,     50,     32,      7,     74,     14,     27,    138
194209,    124,     55,    259,     50,     32,      7,     74,     14,     27,    138
194210,    124,     55,    259,     50,     32,      7,     73,     14,     27,    138
194211,    124,     55,    259,     50,     32,      7,     73,     14,     27,    138
194212,    124,     55,    259,     49,     32,      7,     73,     14,     27,    138
194301,    124,     55,    259,     49,     32,      7,     73,     14,     27,    138
194302,    124,     55,    258,     49,     32,      7,     73,     14,     27,    138
194303,    124,     55,    257,     49,     32,      7,     73,     14,     27,    138
194304,    124,     55,    257,     48,     32,      7,     73,     14,     27,    138
194305,    124,     55,    257,     48,     32,      7,     73,     14,     27,    138
194306,    124,     55,    257,     48,     32,      7,     73,     14,     27,    137
194307,    125,     56,    257,     49,     33,      7,     73,     14,     27,    137
194308,    125,     56,    257,     49,     33,      7,     73,     14,     27,    137
194309,    125,     56,    257,     49,     33,      7,     73,     14,     27,    137
194310,    125,     56,    257,     48,     33,      7,     73,     14,     27,    137
194311,    125,     56,    257,     47,     33,      7,     73,     14,     27,    137
194312,    125,     56,    257,     47,     33,      7,     73,     14,     27,    135
194401,    125,     56,    257,     46,     33,      7,     73,     14,     27,    133
194402,    125,     56,    257,     46,     33,      7,     73,     14,     27,    132
194403,    125,     56,    257,     46,     33,      7,     73,     14,     27,    132
194404,    125,     56,    257,     46,     33,      7,     73,     14,     27,    132
194405,    125,     56,    257,     46,     33,      7,     73,     14,     26,    132
194406,    125,     56,    257,     46,     33,      7,     73,     14,     26,    132
194407,    127,     56,    267,     48,     36,      7,     74,     15,     30,    135
194408,    127,     56,    267,     48,     36,      7,     74,     15,     30,    135
194409,    127,     56,    267,     48,     36,      7,     73,     15,     30,    135
194410,    126,     56,    267,     48,     36,      7,     73,     15,     30,    134
194411,    126,     56,    267,     48,     36,      7,     73,     15,     30,    134
194412,    126,     56,    267,     48,     36,      7,     73,     15,     30,    133
194501,    126,     55,    267,     48,     36,      7,     73,     15,     30,    133
194502,    126,     55,    267,     48,     36,      7,     73,     15,     30,    133
194503,    126,     55,    267,     48,     36,      7,     73,     15,     30,    133
194504,    126,     55,    267,     48,     36,      7,     73,     15,     30,    133
194505,    126,     55,    267,     48,     36,      7,     73,     15,     30,    133
194506,    126,     55,    267,     48,     36,      7,     73,     15,     30,    133
194507,    131,     56,    273,     49,     39,      7,     79,     16,     31,    138
194508,    131,     56,    273,     49,     39,      7,     79,     16,     31,    138
194509,    131,     56,    273,     49,     39,      7,     79,     16,     31,    138
194510,    130,     56,    273,     49,     39,      7,     79,     16,     31,    138
194511,    130,     56,    273,     48,     39,      7,     79,     16,     31,    137
194512,    130,     56,    273,     48,     39,      7,     79,     16,     31,    137
194601,    130,     56,    272,     48,     39,      7,     79,     16,     31,    137
194602,    129,     56,    272,     48,     39,      7,     79,     16,     31,    137
194603,    129,     56,    272,     48,     39,      7,     79,     16,     31,    137
194604,    129,     56,    272,     48,     39,      7,     79,     16,     31,    137
194605,    129,     56,    272,     48,     39,      7,     79,     16,     31,    137
194606,    129,     55,    272,     48,     39,      7,     79,     16,     31,    137
194607,    138,     57,    288,     50,     41,      7,     79,     18,     36,    142
194608,    138,     57,    288,     50,     41,      7,     78,     18,     36,    142
194609,    138,     57,    288,     50,     41,      7,     78,     18,     36,    142
194610,    138,     57,    288,     50,     41,      7,     77,     18,     36,    142
194611,    138,     57,    288,     50,     40,      7,     77,     18,     36,    142
194612,    138,     57,    288,     50,     40,      7,     77,     18,     36,    142
194701,    138,     57,    288,     50,     40,      7,     77,     18,     36,    142
194702,    138,     57,    288,     50,     40,      7,     77,     18,     36,    142
194703,    138,     57,    288,     50,     40,      7,     77,     18,     36,    142
194704,    138,     57,    288,     50,     40,      7,     77,     18,     36,    142
194705,    138,     57,    288,     50,     40,      7,     77,     18,     36,    142
194706,    138,     57,    288,     50,     40,      7,     77,     18,     36,    141
194707,    147,     58,    297,     51,     43,      7,     84,     18,     47,    146
194708,    147,     58,    297,     51,     43,      7,     84,     18,     47,    146
194709,    147,     58,    297,     51,     43,      7,     84,     18,     47,    146
194710,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194711,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194712,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194801,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194802,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194803,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194804,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194805,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194806,    147,     58,    297,     51,     43,      7,     84,     18,     46,    146
194807,    152,     63,    307,     53,     44,      7,     85,     18,     52,    154
194808,    152,     63,    307,     53,     44,      7,     85,     18,     52,    154
194809,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194810,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194811,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194812,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194901,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194902,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194903,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194904,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194905,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194906,    152,     63,    306,     53,     44,      7,     85,     18,     52,    154
194907,    153,     64,    313,     55,     45,      8,     87,     18,     57,    158
194908,    153,     64,    313,     55,     45,      8,     87,     18,     57,    158
194909,    153,     64,    313,     55,     45,      8,     87,     18,     57,    158
194910,    153,     64,    313,     55,     45,      8,     87,     18,     57,    158
194911,    153,     64,    313,     55,     45,      8,     87,     18,     57,    158
194912,    153,     64,    313,     55,     45,      8,     87,     18,     57,    157
195001,    153,     64,    313,     55,     45,      8,     85,     18,     57,    157
195002,    153,     64,    313,     55,     45,      8,     85,     18,     57,    157
195003,    153,     64,    313,     55,     45,      8,     85,     18,     57,    157
195004,    153,     64,    313,     55,     45,      8,     85,     18,     57,    157
195005,    153,     64,    313,     55,     44,      8,     85,     18,     57,    157
195006,    153,     64,    313,     54,     44,      8,     85,     18,     57,    157
195007,    153,     65,    313,     57,     44,      8,     85,     18,     73,    159
195008,    153,     65,    313,     57,     44,      8,     85,     18,     73,    159
195009,    153,     65,    313,     57,     44,      8,     85,     18,     73,    159
195010,    153,     65,    313,     57,     44,      8,     85,     18,     73,    159
195011,    153,     65,    313,     57,     44,      8,     85,     18,     73,    159
195012,    153,     64,    312,     57,     44,      8,     85,     18,     73,    159
195101,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195102,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195103,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195104,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195105,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195106,    153,     64,    312,     57,     44,      8,     85,     18,     73,    158
195107,    156,     65,    318,     59,     46,      8,     86,     19,     85,    161
195108,    155,     65,    318,     59,     46,      8,     86,     19,     85,    161
195109,    155,     65,    317,     59,     46,      8,     86,     19,     85,    161
195110,    155,     65,    317,     59,     46,      8,     86,     19,     85,    161
195111,    155,     65,    316,     59,     46,      8,     86,     19,     84,    161
195112,    155,     65,    316,     59,     46,      8,     86,     19,     84,    161
195201,    155,     65,    316,     59,     46,      8,     86,     19,     84,    161
195202,    155,     65,    316,     59,     46,      8,     86,     19,     84,    161
195203,    155,     65,    316,     59,     46,      8,     86,     19,     84,    160
195204,    154,     65,    316,     59,     46,      8,     86,     19,     84,    160
195205,    154,     65,    316,     59,     46,      8,     86,     19,     84,    160
195206,    154,     65,    316,     59,     46,      8,     86,     19,     84,    160
195207,    156,     66,    323,     60,     49,      8,     87,     19,     84,    160
195208,    156,     66,    323,     60,     49,      8,     87,     19,     84,    160
195209,    156,     66,    323,     60,     49,      8,     87,     19,     84,    160
195210,    156,     66,    323,     60,     49,      8,     87,     18,     84,    160
195211,    156,     66,    322,     60,     49,      8,     87,     18,     84,    160
195212,    156,     66,    322,     60,     49,      8,     87,     18,     84,    160
195301,    156,     66,    322,     60,     49,      8,     87,     18,     84,    160
195302,    156,     66,    322,     60,     49,      7,     86,     18,     84,    160
195303,    154,     66,    322,     60,     48,      7,     86,     18,     84,    160
195304,    154,     66,    322,     60,     48,      7,     86,     18,     84,    160
195305,    154,     66,    321,     60,     48,      7,     86,     17,     84,    157
195306,    154,     66,    321,     60,     48,      7,     86,     17,     84,    157
195307,    154,     65,    329,     60,     50,      8,     88,     18,     88,    161
195308,    153,     65,    329,     60,     50,      8,     88,     18,     88,    161
195309,    152,     65,    329,     60,     50,      8,     87,     18,     88,    161
195310,    152,     64,    329,     60,     50,      8,     87,     18,     88,    161
195311,    152,     64,    328,     60,     50,      8,     87,     18,     88,    161
195312,    152,     64,    328,     60,     50,      8,     87,     18,     88,    161
195401,    152,     64,    328,     60,     50,      8,     87,     18,     88,    161
195402,    152,     64,    328,     60,     50,      8,     87,     18,     88,    161
195403,    152,     64,    328,     60,     50,      8,     87,     18,     88,    161
195404,    152,     64,    327,     60,     50,      8,     87,     18,     88,    161
195405,    152,     63,    325,     60,     50,      8,     87,     18,     88,    161
195406,    152,     63,    325,     60,     50,      8,     87,     18,     88,    161
195407,    152,     62,    332,     60,     50,      9,     87,     18,     91,    162
195408,    152,     62,    332,     59,     50,      9,     87,     18,     91,    162
195409,    152,     62,    332,     59,     50,      9,     87,     18,     91,    162
195410,    152,     61,    331,     59,     50,      9,     87,     18,     91,    160
195411,    152,     61,    331,     58,     50,      9,     87,     18,     91,    160
195412,    152,     61,    331,     58,     50,      9,     87,     18,     91,    160
195501,    152,     61,    331,     58,     50,      9,     87,     18,     90,    160
195502,    150,     61,    330,     58,     50,      9,     87,     18,     90,    160
195503,    150,     61,    328,     58,     50,      9,     87,     18,     90,    160
195504,    150,     61,    328,     58,     50,      9,     87,     17,     90,    159
195505,    150,     61,    328,     57,     49,      9,     87,     17,     90,    158
195506,    150,     61,    328,     57,     49,      9,     87,     17,     90,    158
195507,    152,     62,    339,     59,     49,      9,     88,     17,     93,    159
195508,    152,     62,    338,     58,     49,      9,     88,     17,     93,    158
195509,    152,     61,    337,     57,     49,      9,     88,     17,     93,    158
195510,    152,     60,    337,     56,     49,      9,     88,     17,     93,    158
195511,    152,     60,    337,     56,     49,      9,     88,     17,     93,    158
195512,    152,     59,    335,     56,     49,      9,     87,     17,     93,    158
195601,    151,     58,    335,     56,     49,      9,     87,     17,     93,    158
195602,    151,     58,    335,     56,     49,      9,     86,     17,     93,    158
195603,    151,     58,    335,     56,     49,      9,     86,     17,     93,    158
195604,    151,     58,    335,     56,     49,      9,     86,     17,     93,    158
195605,    149,     58,    335,     56,     49,      9,     86,     17,     93,    158
195606,    149,     58,    334,     56,     49,      9,     86,     17,     93,    156
195607,    150,     57,    344,     57,     50,     10,     87,     17,     94,    158
195608,    149,     57,    344,     56,     50,     10,     87,     17,     94,    157
195609,    149,     57,    343,     56,     50,     10,     87,     17,     94,    156
195610,    149,     57,    341,     55,     50,     10,     87,     17,     94,    156
195611,    148,     57,    341,     55,     50,     10,     87,     17,     94,    156
195612,    148,     57,    341,     55,     50,     10,     87,     17,     94,    156
195701,    148,     57,    338,     54,     50,     10,     87,     17,     94,    156
195702,    148,     57,    338,     54,     50,     10,     87,     17,     94,    156
195703,    148,     57,    338,     54,     50,     10,     87,     17,     94,    156
195704,    148,     56,    338,     54,     50,     10,     87,     17,     94,    156
195705,    147,     55,    337,     54,     50,     10,     87,     17,     94,    156
195706,    147,     54,    335,     54,     50,     10,     87,     17,     94,    156
195707,    150,     56,    347,     56,     59,     10,     87,     17,     95,    160
195708,    149,     56,    346,     56,     58,     10,     87,     17,     95,    160
195709,    149,     56,    345,     56,     58,     10,     87,     17,     95,    159
195710,    148,     56,    345,     56,     58,      9,     86,     17,     95,    159
195711,    148,     56,    345,     56,     57,      9,     86,     17,     95,    159
195712,    148,     56,    343,     56,     57,      9,     86,     17,     95,    157
195801,    148,     56,    341,     56,     57,      9,     86,     17,     95,    157
195802,    148,     56,    341,     56,     57,      9,     85,     17,     95,    157
195803,    147,     56,    339,     56,     57,      9,     84,     17,     95,    156
195804,    147,     56,    339,     56,     57,      9,     84,     17,     95,    156
195805,    146,     56,    338,     56,     57,      9,     84,     17,     95,    156
195806,    146,     55,    337,     55,     57,      9,     84,     17,     95,    156
195807,    147,     51,    347,     55,     63,      9,     83,     20,     97,    167
195808,    147,     51,    346,     55,     63,      9,     83,     20,     97,    166
195809,    147,     51,    345,     55,     63,      9,     83,     20,     97,    164
195810,    147,     51,    344,     55,     63,      9,     83,     20,     97,    162
195811,    147,     51,    344,     55,     63,      9,     83,     20,     97,    162
195812,    147,     50,    343,     55,     63,      9,     83,     20,     97,    162
195901,    147,     50,    343,     55,     63,      9,     83,     20,     97,    162
195902,    147,     50,    343,     55,     63,      9,     81,     20,     97,    162
195903,    147,     50,    342,     55,     62,      9,     80,     20,     97,    160
195904,    147,     50,    341,     55,     62,      9,     80,     20,     97,    158
195905,    147,     50,    341,     55,     62,      9,     80,     20,     97,    158
195906,    147,     50,    341,     55,     62,      9,     80,     20,     97,    157
195907,    152,     49,    347,     52,     68,     10,     83,     22,    101,    160
195908,    152,     49,    347,     52,     68,     10,     83,     22,    101,    159
195909,    152,     49,    347,     52,     68,     10,     83,     22,    101,    159
195910,    151,     49,    347,     52,     67,     10,     83,     22,    101,    159
195911,    151,     49,    346,     52,     67,     10,     83,     22,    101,    159
195912,    151,     49,    346,     52,     66,     10,     83,     22,    101,    158
196001,    151,     49,    346,     52,     65,     10,     83,     22,    101,    158
196002,    151,     49,    346,     52,     65,     10,     83,     22,    101,    157
196003,    150,     49,    346,     52,     65,     10,     83,     22,    101,    157
196004,    149,     49,    345,     52,     65,     10,     83,     22,    101,    156
196005,    149,     49,    343,     52,     64,     10,     83,     22,    101,    156
196006,    149,     49,    343,     52,     64,     10,     83,     22,    101,    156
196007,    151,     49,    359,     52,     73,     10,     90,     23,    102,    164
196008,    151,     49,    359,     52,     73,     10,     89,     23,    102,    164
196009,    151,     49,    359,     52,     73,     10,     89,     23,    101,    164
196010,    148,     49,    359,     52,     73,     10,     89,     23,    101,    163
196011,    147,     49,    359,     52,     73,     10,     89,     23,    101,    162
196012,    146,     49,    359,     52,     73,     10,     89,     23,    101,    162
196101,    144,     49,    358,     52,     73,     10,     89,     22,    101,    162
196102,    141,     49,    358,     52,     73,     10,     89,     22,    101,    161
196103,    141,     49,    358,     51,     73,     10,     89,     22,    101,    161
196104,    140,     49,    358,     50,     73,     10,     89,     22,    101,    161
196105,    140,     49,    358,     50,     73,     10,     89,     22,    101,    161
196106,    140,     49,    358,     50,     73,     10,     88,     22,    101,    160
196107,    146,     51,    370,     50,     80,     10,     93,     23,    104,    165
